001325-0001	Highly recommended
112579-0006	They bake bread fresh daily, they don't press their sandwiches which is the way I like it, and the meat is always fresh.
112579-0007	They have a great lunch special with your choice of meat, chicken, steak, or pork and rice and black beans and fried plantains.
112579-0008	And their breakfast is awesome!!
112579-0009	I cannot describe how delicious the mango and cheese pastries and the omelets are to die for.
112579-0010	Stop in and have a bite you won't regret it.
112579-0011	A slice of heaven in winter park off forsyth!
112661-0001	Great Food Awesome food Awesome service
112661-0002	I wanted to try someplace new again.
112661-0003	This place rocked.
112661-0004	Brought my wife Deb with me and she like the Fried Crab Wontons and said they were good..
112661-0005	We also had the BBQ Spare Ribs.. good also.
112661-0006	I ordered the MOO SHU pork and it was great..
112661-0007	I also ordered the Neptune Platter which was awesome... so this place gets 5 out of 5 stars.
114849-0001	Used their service for the first time and was immediately impressed by their professionalism (received a phone call soon after order was placed to confirm details) and the subsequent delivery of my gift (To Split, Croatia) was as requested.
114849-0002	The gift itself was exactly as described and pictured in the catalogue and of the highest standard.
114849-0003	Would highly recommend to anyone requiring overseas gift delivery.
114849-0004	Danny (Australia)
114941-0001	Give them a try!
114941-0002	The pizzas are huge and super delicious.
114941-0003	They're our favorite pizza place to order from... and they're a local, family owned company!
114941-0004	How much better does it get?!
115029-0001	Not friendly, not helpful, overall poor customer service.
115029-0002	Definitely not going to purchase a car from here.
115566-0001	Retired
115566-0002	Dr Joseph retired.
115566-0003	Dr. Dorn is his backup.
115653-0001	Great Doctor!
115653-0002	Dr. Faris is a great doctor!
115653-0003	I would recommend him to anyone.
115653-0004	I was experiencing severe back pain to the point I could barely walk or even bare to sit.
115653-0005	I went from a pain scale of 8-9 to 0 and I was able to run in the Crim just a week later!!
116821-0001	FANFUCKINGTASTIC
116821-0002	Ok I am a New Yorker who has been going to school in Oxford, England.
116821-0003	I thought the UK was completely devoid of good NYC style pizza.
116821-0004	I thought to get a decent pizza the only way was at a fancy restaurant, and I have to get a whole pie.
116821-0005	I thought I would have to wait until I went home to NYC.
116821-0006	Well then I went on a trip to Glasgow and was walking around.
116821-0007	I saw this place and it looked like the HOLY GRAIL.
116821-0008	I knew I had found the real deal, big pies, sold by the slice, with the pizzas sitting under the glass in the front.
116821-0009	They have crushed red pepper flakes and oregano.
116821-0010	So I ordered a slice.
116821-0011	It tasted like I just flew back home.
116821-0012	I dunno how they did it, but Scottish friends--- this is THE REAL DEAL.
116821-0013	I congratulated this establishment for doing the research on making NYC pizza because these Scots fcking nailed it.
116821-0014	That being said, I don't know how their delivery service is.
116821-0015	They might want to change the name to reflect the new yorkedness of the pizza, scrummy yummy sounds gimmicky to me.
117115-0001	Excellent service and quality
117115-0002	I had Hom-Excel replace most of the windows in my Tampa residence three years ago.
117115-0003	The excellent windows have performed without any problems, but that's not why I'm writing my review.
117115-0004	Three weeks ago, burglars tried to gain entry into the rear of my home.
117115-0005	The intruders slit the screen of the window.
117115-0006	Next, they tried to force the window with a pry bar and then to break the window with a hammer.
117115-0007	The window didn't break!
117115-0008	My next-door neighbor heard the noise and turned on a light, thankfully scaring the two miscreants away (they even left their hammer behind!).
117115-0009	I called Home-Excel the next day to order a replacement screen for the window, and was happily surprised when they said that they weren't even going to charge me for the replacement screen...that it would be covered under their guarentee.
117115-0010	Lo and behold, they replaced the screen (which had to be ordered) yesterday and didn't charge me a dime.
117115-0011	Their worker even cleaned 3 of my windows and changed a lightbulb for me.
117115-0012	In this day and age, it is so rare to find a company with such nice workers and such far ranging guarantee policies.
117115-0013	I rarely write reviews such as this one, but they certainly deserve anyone's business!
117893-0001	Aweesome
117893-0002	Holy cow was that a delicious meal.
117893-0003	Hot, fresh, delicious.
117893-0004	Loved every bit of it. :)
118668-0001	Hidden Treasure.
118668-0002	Strip mall asian it is not!
118668-0003	Go in and you will not think you are in Chesapeake.
118668-0004	The setting feels like a Sushi bar in NYC; small, cozy, but with flair.
118668-0005	Get great service, fantastic menu, and relax.
118668-0006	Best in HR so far!
118679-0001	I really want to like this place since I work right around the corner.
118679-0002	Unfortunately, I've given it a couple of tries at different times and decided to stop going.
118679-0003	The employees don't really seem to enjoy what they are doing and it shows.
118718-0001	Great Surgeon
118718-0002	I needed wisdom teeth taken out.
118718-0003	Dr. Wallen and staff was excellent.
118718-0004	They were accomdating with my scheduled and work with my insurance to get payment for the surgery.
118718-0005	Dr. Wallen explained the procedure in detail and took his time with me.
118718-0006	Staff explained insurance procedures and was very helpful.
118718-0007	Everyone was very nice.
118770-0001	This place is clean and well run with great people.
118770-0002	The food is fresh and taste great.
118770-0003	Great value and service.
118770-0004	We will be back again and again !!
